pF,logK_cmd,Sample_ID,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date
-3,1.74,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.97996,1.74,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.95992,1.73,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.93988,1.73,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.91984,1.73,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.8998,1.73,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.87976,1.73,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.85972,1.72,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.839679,1.72,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.819639,1.72,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.799599,1.72,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.779559,1.72,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.759519,1.71,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.739479,1.71,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.719439,1.71,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.699399,1.71,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.679359,1.71,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.659319,1.7,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.639279,1.7,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.619238,1.7,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.599198,1.7,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.579158,1.69,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.559118,1.69,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.539078,1.69,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.519038,1.69,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.498998,1.69,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.478958,1.68,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.458918,1.68,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.438878,1.68,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.418838,1.68,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.398798,1.67,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.378757,1.67,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.358717,1.67,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.338677,1.67,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.318637,1.66,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.298597,1.66,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.278557,1.66,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.258517,1.66,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.238477,1.65,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.218437,1.65,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.198397,1.65,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.178357,1.65,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.158317,1.64,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.138277,1.64,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.118237,1.64,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.098197,1.63,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.078156,1.63,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.058116,1.63,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
