pF,VWC,Sample_ID,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date
-3,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.98,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.96,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.94,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.92,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.9,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.88,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.86,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.84,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.82,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.8,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.78,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.76,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.739,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.719,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.699,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.679,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.659,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.639,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.619,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.599,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.579,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.559,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.539,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.519,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.499,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.479,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.459,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.439,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.419,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.399,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.379,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.359,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.339,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.319,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.299,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.279,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.259,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.238,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.218,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.198,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.178,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.158,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.138,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.118,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.098,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.078,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.058,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.038,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-2.018,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.998,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.978,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.958,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.938,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.918,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.898,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.878,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.858,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.838,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.818,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.798,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.778,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.758,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.737,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.717,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.697,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.677,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.657,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.637,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.617,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.597,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.577,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.557,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.537,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.517,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.497,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.477,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.457,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.437,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.417,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.397,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.377,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.357,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.337,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.317,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.297,37.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
