Time,pF_B,pF_T,Weight,Sample_ID,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date
2018-05-05T17:13:38Z,0.229199886322022,1.70169997215271,476.420013427734,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T17:13:58Z,0.267781324226676,1.76370693932739,476.413014107266,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T17:14:58Z,0.383350468756766,1.94746273668744,476.392351879134,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T17:16:39Z,0.57537994878171,2.24585366912331,476.359113414966,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T17:19:00Z,0.842984600487372,2.64596230272719,476.315374740158,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T17:22:02Z,1.18491214948129,3.12747555170512,476.264598592903,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T17:25:44Z,1.60414640709369,3.67699933575791,476.211820793431,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T17:30:06Z,2.10521558523659,4.29640299661705,476.159287681192,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T17:35:08Z,2.61447418230833,4.75809942887189,476.104540375026,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T17:40:51Z,3.08926783772637,5.02834778244221,476.048813687527,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T17:47:14Z,3.64491015877529,5.39345384884229,475.981941067932,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T17:54:17Z,4.26159949573237,5.87726732633899,475.904455607167,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T18:02:01Z,4.84594295449507,6.40860084316005,475.827055576012,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T18:10:25Z,5.08509869823358,6.60502480713544,475.750799218727,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T18:19:30Z,5.54186025797292,7.02876272914217,475.66283631914,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T18:29:14Z,6.60877491521094,8.07798222171062,475.577782606335,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T18:39:39Z,6.71256345195473,8.19911887614386,475.484414707103,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T18:50:45Z,6.95880701795424,8.46808327486049,475.373259404319,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2018-05-05T19:02:30Z,8.49618819976019,9.99943751977911,475.244439150189,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
