pF,logK_cmd,manual,Sample_ID,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date
1.881,-0.46,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.894,-0.65,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.906,-0.75,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.917,-0.88,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.928,-0.97,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.938,-1.06,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.95,-1.15,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.962,-1.23,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.977,-1.3,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.993,-1.38,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.01,-1.45,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.027,-1.52,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.045,-1.62,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.061,-1.75,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.078,-1.74,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.096,-1.85,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.113,-1.91,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.131,-1.98,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.149,-2.04,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.166,-2.13,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.184,-2.2,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.202,-2.27,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.219,-2.33,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.237,-2.41,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.255,-2.46,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.274,-2.5,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.294,-2.56,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.314,-2.62,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.335,-2.66,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.356,-2.74,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.378,-2.82,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.399,-2.89,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.419,-2.92,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.441,-2.98,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.463,-3.02,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.487,-3.04,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.511,-3.08,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.537,-3.16,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.564,-3.19,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.591,-3.22,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.619,-3.33,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.648,-3.4,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.678,-3.43,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
3.405,-4.71,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1,1.85,1,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.803,-0.57,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.834,-0.72,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.867,-0.88,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.902,-1.03,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.939,-1.2,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.978,-1.34,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.021,-1.5,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.064,-1.65,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.106,-1.79,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.144,-1.93,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.178,-1.99,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.211,-2.06,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.25,-2.11,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.295,-2.18,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.347,-2.25,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.409,-2.39,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.476,-2.56,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.537,-2.76,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.589,-2.86,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.639,-2.95,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.689,-3.02,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.733,-3.15,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.772,-3.25,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.813,-3.26,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
