pF,VWC,manual,Sample_ID,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date
-0.175,37.18,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.101,37.17,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.009,37.16,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.128,37.15,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.242,37.13,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.346,37.11,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.443,37.09,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.523,37.07,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.581,37.04,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.63,37.02,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.682,36.99,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.732,36.96,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.763,36.93,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.788,36.89,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.839,36.86,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.875,36.82,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.886,36.78,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.935,36.73,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.897,36.69,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.8,36.64,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.866,36.58,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.973,36.52,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.05,36.46,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.071,36.39,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.085,36.33,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.11,36.26,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.113,36.19,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.132,36.12,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.133,36.04,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.159,35.96,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.193,35.88,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.157,35.78,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.186,35.69,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.265,35.58,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.309,35.48,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.351,35.36,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.385,35.25,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.417,35.14,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.45,35.02,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.483,34.91,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.518,34.79,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.551,34.67,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.584,34.54,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.616,34.41,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.646,34.28,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.672,34.14,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.694,34.02,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.72,33.88,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.742,33.74,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.76,33.61,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.777,33.48,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.793,33.36,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.813,33.23,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.831,33.09,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.846,32.96,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.865,32.82,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.881,32.68,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.894,32.55,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.906,32.41,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.917,32.28,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.928,32.15,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.938,32.02,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.95,31.89,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.962,31.75,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.977,31.6,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.993,31.45,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.01,31.28,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.027,31.11,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.045,30.93,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.061,30.77,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.078,30.59,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.096,30.4,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.113,30.22,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.131,30.04,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.149,29.85,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.166,29.66,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.184,29.48,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.202,29.3,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.219,29.12,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.237,28.95,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.255,28.78,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.274,28.61,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.294,28.43,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.314,28.25,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.335,28.07,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.356,27.89,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.378,27.72,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.399,27.55,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.419,27.39,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.441,27.22,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.463,27.05,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.487,26.87,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.511,26.68,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.537,26.5,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.564,26.31,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.591,26.11,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.619,25.92,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.648,25.74,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.678,25.56,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
3.405,21.61,NA,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
5.58,9.65,1,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
5.46,10.48,1,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
4.47,16.49,1,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
3.91,20.84,1,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.119,50.37,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
-0.054,50.36,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.037,50.35,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.134,50.33,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.222,50.31,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.17,50.29,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
-0.059,50.26,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
-0.322,50.22,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
-0.332,50.17,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
-0.133,50.12,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
-0.02,50.06,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.143,49.99,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.247,49.91,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.339,49.83,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.459,49.74,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.555,49.64,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.583,49.53,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.627,49.41,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.712,49.28,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.766,49.14,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.823,49,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.821,48.85,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.754,48.69,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.781,48.54,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.864,48.38,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.887,48.22,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.829,48.05,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.841,47.87,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.829,47.7,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.802,47.53,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.872,47.35,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.857,47.17,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.858,47,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.903,46.81,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.922,46.62,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.935,46.43,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.953,46.22,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.946,46.03,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.952,45.84,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
0.986,45.66,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.012,45.45,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.042,45.23,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.069,44.98,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
