Layer_Name,Variable,Comparision,difference,pvalue,signif.,LCL,UCL,Layer_Name_Text,Depth_Top,Depth_Bottom,Depth_Range
Entire,hMean,NT-CC - NT-NO,-79.375,0.5622, ,-284.14959860343697,125.399598603437,Entire (0-100 cm),0,100,0 - 100 cm
Entire,hMean,NT-CC - ST-CC,-56.32500000000027,0.6798, ,-261.09959860343724,148.44959860343673,Entire (0-100 cm),0,100,0 - 100 cm
Entire,hMean,NT-CC - ST-NO,-170.60000000000036,0.2243, ,-375.37459860343733,34.174598603436635,Entire (0-100 cm),0,100,0 - 100 cm
Entire,hMean,NT-NO - ST-CC,23.049999999999727,0.8654, ,-181.72459860343727,227.82459860343673,Entire (0-100 cm),0,100,0 - 100 cm
Entire,hMean,NT-NO - ST-NO,-91.22500000000036,0.5063, ,-295.99959860343733,113.54959860343664,Entire (0-100 cm),0,100,0 - 100 cm
Entire,hMean,ST-CC - ST-NO,-114.27500000000009,0.4076, ,-319.04959860343706,90.49959860343691,Entire (0-100 cm),0,100,0 - 100 cm
Entire,th,NT-CC - NT-NO,-0.0022794262134014642,0.568, ,-0.008249607892127002,0.003690755465324073,Entire (0-100 cm),0,100,0 - 100 cm
Entire,th,NT-CC - ST-CC,-0.003180880330123814,0.4285, ,-0.009151062008849352,0.002789301348601723,Entire (0-100 cm),0,100,0 - 100 cm
Entire,th,NT-CC - ST-NO,5.133621536647648e-4,0.897, ,-0.0054568195250607725,0.006483543832390302,Entire (0-100 cm),0,100,0 - 100 cm
Entire,th,NT-NO - ST-CC,-9.0145411672235e-4,0.8203, ,-0.006871635795447887,0.005068727562003187,Entire (0-100 cm),0,100,0 - 100 cm
Entire,th,NT-NO - ST-NO,0.002792788367066229,0.4856, ,-0.0031773933116593083,0.008762970045791766,Entire (0-100 cm),0,100,0 - 100 cm
Entire,th,ST-CC - ST-NO,0.003694242483788579,0.36, ,-0.0022759391949369583,0.009664424162514116,Entire (0-100 cm),0,100,0 - 100 cm
Entire,th.diff,NT-CC - NT-NO,-1.9895853802318758e-4,0.4579, ,-5.978807852670428e-4,1.999637092206676e-4,Entire (0-100 cm),0,100,0 - 100 cm
Entire,th.diff,NT-CC - ST-CC,-1.277264688543875e-4,0.6313, ,-5.266487160982427e-4,2.711957783894677e-4,Entire (0-100 cm),0,100,0 - 100 cm
Entire,th.diff,NT-CC - ST-NO,-1.2281391235999944e-4,0.6444, ,-5.217361596038546e-4,2.7610833488385573e-4,Entire (0-100 cm),0,100,0 - 100 cm
Entire,th.diff,NT-NO - ST-CC,7.12320691688001e-5,0.7883, ,-3.276901780750551e-4,4.7015431641265527e-4,Entire (0-100 cm),0,100,0 - 100 cm
Entire,th.diff,NT-NO - ST-NO,7.614462566318814e-5,0.7741, ,-3.2277762158066704e-4,4.750668729070433e-4,Entire (0-100 cm),0,100,0 - 100 cm
Entire,th.diff,ST-CC - ST-NO,4.912556494388043e-6,0.9852, ,-3.9400969074946713e-4,4.038348037382432e-4,Entire (0-100 cm),0,100,0 - 100 cm
Entire,VolumeW,NT-CC - NT-NO,-0.22792559751431796,0.568, ,-0.8248991772653296,0.36904798223669366,Entire (0-100 cm),0,100,0 - 100 cm
Entire,VolumeW,NT-CC - ST-CC,-0.31806427670371207,0.4285, ,-0.9150378564547237,0.27890930304729955,Entire (0-100 cm),0,100,0 - 100 cm
Entire,VolumeW,NT-CC - ST-NO,0.051332381336738564,0.897, ,-0.545641198414273,0.6483059610877502,Entire (0-100 cm),0,100,0 - 100 cm
