Layer_Number,Variable,Comparision,difference,pvalue,signif.,LCL,UCL,Layer,Depth_Top,Depth_Bottom,Depth_Range,Layer_Name,Layer_Number_Text
0,hMean,NT-CC - NT-NO,-79.375,0.5622, ,-284.14959860343674,125.39959860343674,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,hMean,NT-CC - ST-CC,-56.32500000000027,0.6798, ,-261.099598603437,148.44959860343647,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,hMean,NT-CC - ST-NO,-170.60000000000036,0.2243, ,-375.3745986034371,34.17459860343638,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,hMean,NT-NO - ST-CC,23.049999999999727,0.8654, ,-181.72459860343702,227.82459860343647,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,hMean,NT-NO - ST-NO,-91.22500000000036,0.5063, ,-295.9995986034371,113.54959860343638,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,hMean,ST-CC - ST-NO,-114.27500000000009,0.4076, ,-319.04959860343683,90.49959860343665,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th,NT-CC - NT-NO,-0.0022794262134014642,0.568, ,-0.00824960789212701,0.0036907554653240826,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th,NT-CC - ST-CC,-0.003180880330123814,0.4285, ,-0.00915106200884936,0.0027893013486017327,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th,NT-CC - ST-NO,5.133621536647648e-4,0.897, ,-0.005456819525060782,0.006483543832390312,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th,NT-NO - ST-CC,-9.0145411672235e-4,0.8203, ,-0.006871635795447897,0.005068727562003197,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th,NT-NO - ST-NO,0.002792788367066229,0.4856, ,-0.003177393311659318,0.008762970045791775,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th,ST-CC - ST-NO,0.003694242483788579,0.36, ,-0.002275939194936968,0.009664424162514125,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th.diff,NT-CC - NT-NO,-1.9895853802318758e-4,0.4579, ,-5.978807852670459e-4,1.999637092206708e-4,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th.diff,NT-CC - ST-CC,-1.277264688543875e-4,0.6313, ,-5.266487160982458e-4,2.711957783894709e-4,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th.diff,NT-CC - ST-NO,-1.2281391235999944e-4,0.6444, ,-5.217361596038578e-4,2.7610833488385893e-4,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th.diff,NT-NO - ST-CC,7.12320691688001e-5,0.7883, ,-3.276901780750583e-4,4.7015431641265847e-4,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th.diff,NT-NO - ST-NO,7.614462566318814e-5,0.7741, ,-3.2277762158067024e-4,4.750668729070465e-4,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th.diff,ST-CC - ST-NO,4.912556494388043e-6,0.9852, ,-3.9400969074947033e-4,4.038348037382464e-4,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,VolumeW,NT-CC - NT-NO,-0.22792559751431796,0.568, ,-0.8248991772653287,0.3690479822366928,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,VolumeW,NT-CC - ST-CC,-0.31806427670371207,0.4285, ,-0.9150378564547228,0.27890930304729866,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,VolumeW,NT-CC - ST-NO,0.051332381336738564,0.897, ,-0.5456411984142722,0.6483059610877493,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,VolumeW,NT-NO - ST-CC,-0.09013867918939411,0.8203, ,-0.6871122589404048,0.5068349005616166,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,VolumeW,NT-NO - ST-NO,0.2792579788510565,0.4856, ,-0.3177156008999542,0.8762315586020673,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,VolumeW,ST-CC - ST-NO,0.36939665804045063,0.36, ,-0.2275769217105601,0.9663702377914614,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,wv.diff,NT-CC - NT-NO,-0.019894367886486464,0.4579, ,-0.05978361327211741,0.019994877499144484,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
