Trt,mean,std,r,Min,Max,Q25,Q50,Q75,groups,stder,Depth_text,psd_group,Variable
NT-CC,0.004188021605143319,0.002118080115974328,244,0.0018343686407123535,0.00678725957220554,0.002258630895330761,0.004065229103827691,0.0059946198136402494,a,1.355961847486297e-4,0 - 5 cm,<0.2,ln.r_area
NT-NO,0.0013726328748575082,8.045057862732503e-4,244,7.640787952752927e-4,0.0027541247245604183,9.162774683264355e-4,9.861639897971607e-4,0.0014425193963282334,b,5.150320538119411e-5,0 - 5 cm,<0.2,ln.r_area
ST-CC,0.0016026139297026381,0.0024779053254493067,244,-6.058591423080319e-4,0.005779705890664912,7.734321158905005e-5,6.183044852268364e-4,0.0021435752033404244,b,1.586316333198182e-4,0 - 5 cm,<0.2,ln.r_area
ST-NO,0.0016017210088030169,0.0011111398997509195,244,2.3281680813660806e-4,0.0028723110048644407,6.632550152866755e-4,0.0016508781111055093,0.0025893441046218506,b,7.113344296652929e-5,0 - 5 cm,<0.2,ln.r_area
NT-CC,0.0074347515666044715,0.0036496328768340506,244,0.003162704552952334,0.011907472933693928,0.004252289090454761,0.007334414389885813,0.010516876866035524,a,2.3364380322517554e-4,0 - 5 cm,<0.2,ln.r_area_porosity
NT-NO,0.0025763625947013186,0.001367185805970219,244,0.0016256995644155163,0.004918079865286461,0.0016568693212894176,0.0018808354745516488,0.00280032874796355,b,8.752510244248428e-5,0 - 5 cm,<0.2,ln.r_area_porosity
ST-CC,0.0027572034247095823,0.004292650027031146,244,-0.0011651137352077538,0.009965010156318815,1.1013910508588263e-4,0.001114458638863634,0.0037615229584873336,b,2.7480875805246474e-4,0 - 5 cm,<0.2,ln.r_area_porosity
ST-NO,0.0027979466073227164,0.001907506494701639,244,4.014082898907036e-4,0.004787185008107401,0.0012004444602045368,0.00300159656564638,0.00459909871276456,b,1.2211559001666652e-4,0 - 5 cm,<0.2,ln.r_area_porosity
NT-CC,7.824370355069659e-4,0.0011310797819749736,244,-3.797684950905822e-4,0.0046637564996031555,5.775400541141451e-6,4.2830262317172796e-4,9.723196209490415e-4,a,7.240996311962793e-5,0 - 5 cm,<0.2,Sr.diff
NT-NO,2.647679847536998e-4,6.92791296653048e-4,244,-1.771362694773515e-4,0.0044059502921934834,-3.4348121379590424e-5,4.386143254936359e-5,8.999922312996622e-5,b,4.4351418034060814e-5,0 - 5 cm,<0.2,Sr.diff
ST-CC,2.997796487571323e-4,6.393401788040573e-4,244,-5.050316734205307e-4,0.002813809736897932,-6.85397402441501e-5,9.071005524552422e-6,7.24978764732237e-4,b,4.092956085490567e-5,0 - 5 cm,<0.2,Sr.diff
ST-NO,3.05373505194288e-4,6.028549931793018e-4,244,-2.8192829692696986e-4,0.0029552293906950355,1.010997456774021e-5,1.3427566031959381e-4,2.503712964632421e-4,b,3.8593836189322545e-5,0 - 5 cm,<0.2,Sr.diff
NT-CC,0.027934374384576924,0.0021150248087960367,172,0.02598174948864464,0.031234311729070395,0.02615807280878743,0.027260718160296328,0.02903701973608582,c,1.6126912977969309e-4,0 - 5 cm,0.2-10,ln.r_area
NT-NO,0.02949707866066846,0.008224589717481065,172,0.020608224932620826,0.04053475448716085,0.02216547929453365,0.02842266761144608,0.03575426697758089,b,6.271190867440517e-4,0 - 5 cm,0.2-10,ln.r_area
ST-CC,0.028549676964165716,0.004144484349766698,172,0.022098769595610794,0.03249583964982058,0.026377705353841083,0.02980204930561574,0.03197402091594037,bc,3.1601396905263807e-4,0 - 5 cm,0.2-10,ln.r_area
ST-NO,0.03538083394402352,0.0018502236755290496,172,0.03359807160967861,0.03847473545410856,0.03441126302149363,0.034725264356153446,0.035694835278683335,a,1.4107823265685856e-4,0 - 5 cm,0.2-10,ln.r_area
NT-CC,0.049965162291817036,0.004196703053077992,172,0.04558201664674498,0.05443190206107235,0.04589135580489022,0.0499233652297254,0.05399717171665222,c,3.199956078524355e-4,0 - 5 cm,0.2-10,ln.r_area_porosity
NT-NO,0.05562005083441036,0.011288910739135976,172,0.04293380194296005,0.07238349015564437,0.046932222956757974,0.053581455619518506,0.06226928349717088,b,8.607713741653119e-4,0 - 5 cm,0.2-10,ln.r_area_porosity
ST-CC,0.05159979139527739,0.007986394880462079,172,0.03810132688898413,0.05781832970541873,0.04962727971251215,0.05523975449335336,0.0572122661761186,c,6.089569006910501e-4,0 - 5 cm,0.2-10,ln.r_area_porosity
