Comparision,difference,pvalue,signif.,LCL,UCL,Depth_text,psd_group,Variable
NT-CC - NT-NO,0.0028153887302858113,0,***,0.002477287244143471,0.0031534902164281516,0 - 5 cm,<0.2,ln.r_area
NT-CC - ST-CC,0.0025854076754406813,0,***,0.002247306189298341,0.0029235091615830216,0 - 5 cm,<0.2,ln.r_area
NT-CC - ST-NO,0.0025863005963403024,0,***,0.002248199110197962,0.0029244020824826427,0 - 5 cm,<0.2,ln.r_area
NT-NO - ST-CC,-2.2998105484512994e-4,0.4768, ,-5.680825409874703e-4,1.0812043129721047e-4,0 - 5 cm,<0.2,ln.r_area
NT-NO - ST-NO,-2.2908813394550867e-4,0.4803, ,-5.671896200878491e-4,1.0901335219683174e-4,0 - 5 cm,<0.2,ln.r_area
ST-CC - ST-NO,8.929208996212665e-7,1, ,-3.3720856524271914e-4,3.389944070419617e-4,0 - 5 cm,<0.2,ln.r_area
NT-CC - NT-NO,0.004858388971903153,0,***,0.004274890458839383,0.005441887484966924,0 - 5 cm,<0.2,ln.r_area_porosity
NT-CC - ST-CC,0.004677548141894889,0,***,0.004094049628831119,0.0052610466549586595,0 - 5 cm,<0.2,ln.r_area_porosity
NT-CC - ST-NO,0.004636804959281755,0,***,0.004053306446217985,0.0052203034723455255,0 - 5 cm,<0.2,ln.r_area_porosity
NT-NO - ST-CC,-1.8084083000826376e-4,0.914, ,-7.643393430720343e-4,4.0265768305550675e-4,0 - 5 cm,<0.2,ln.r_area_porosity
NT-NO - ST-NO,-2.2158401262139778e-4,0.8535, ,-8.050825256851683e-4,0.00036191450044237273,0 - 5 cm,<0.2,ln.r_area_porosity
ST-CC - ST-NO,-4.074318261313402e-5,0.9989, ,-6.242416956769045e-4,5.427553304506365e-4,0 - 5 cm,<0.2,ln.r_area_porosity
NT-CC - NT-NO,5.176690507532661e-4,0,***,3.655656459108374e-4,6.697724555956948e-4,0 - 5 cm,<0.2,Sr.diff
NT-CC - ST-CC,4.8265738674983365e-4,0,***,3.30553981907405e-4,6.347607915922623e-4,0 - 5 cm,<0.2,Sr.diff
NT-CC - ST-NO,4.7706353031267795e-4,0,***,3.249601254702493e-4,6.291669351551066e-4,0 - 5 cm,<0.2,Sr.diff
NT-NO - ST-CC,-3.501166400343247e-5,0.9622, ,-1.8711506884586113e-4,1.1709174083899618e-4,0 - 5 cm,<0.2,Sr.diff
NT-NO - ST-NO,-4.0605520440588176e-5,0.9428, ,-1.9270892528301683e-4,1.1149788440184048e-4,0 - 5 cm,<0.2,Sr.diff
ST-CC - ST-NO,-5.5938564371557035e-6,0.9998, ,-1.5769726127958436e-4,1.4650954840527295e-4,0 - 5 cm,<0.2,Sr.diff
NT-CC - NT-NO,-0.0015627042760915366,0.0144,*,-0.00265959712990489,-4.6581142227818334e-4,0 - 5 cm,0.2-10,ln.r_area
NT-CC - ST-CC,-6.153025795887918e-4,0.6364, ,-0.001712195433402145,4.815902742245615e-4,0 - 5 cm,0.2-10,ln.r_area
NT-CC - ST-NO,-0.007446459559446596,0,***,-0.00854335241325995,-0.006349566705633242,0 - 5 cm,0.2-10,ln.r_area
NT-NO - ST-CC,9.474016965027449e-4,0.2625, ,-1.494911573106084e-4,0.002044294550316098,0 - 5 cm,0.2-10,ln.r_area
NT-NO - ST-NO,-0.005883755283355059,0,***,-0.006980648137168413,-0.004786862429541705,0 - 5 cm,0.2-10,ln.r_area
ST-CC - ST-NO,-0.006831156979857804,0,***,-0.007928049833671158,-0.00573426412604445,0 - 5 cm,0.2-10,ln.r_area
NT-CC - NT-NO,-0.005654888542593321,0,***,-0.0073126157487402475,-0.003997161336446395,0 - 5 cm,0.2-10,ln.r_area_porosity
NT-CC - ST-CC,-0.0016346291034603569,0.1595, ,-0.003292356309607283,2.3098102686569576e-5,0 - 5 cm,0.2-10,ln.r_area_porosity
NT-CC - ST-NO,-0.012090835146863488,0,***,-0.013748562353010415,-0.01043310794071656,0 - 5 cm,0.2-10,ln.r_area_porosity
NT-NO - ST-CC,0.004020259439132964,0,***,0.002362532232986038,0.005677986645279891,0 - 5 cm,0.2-10,ln.r_area_porosity
NT-NO - ST-NO,-0.006435946604270167,0,***,-0.008093673810417094,-0.00477821939812324,0 - 5 cm,0.2-10,ln.r_area_porosity
ST-CC - ST-NO,-0.010456206043403131,0,***,-0.012113933249550058,-0.008798478837256204,0 - 5 cm,0.2-10,ln.r_area_porosity
NT-CC - NT-NO,-4.0326829672572995e-4,0.6209, ,-0.0011075843589133665,3.010477654619067e-4,0 - 5 cm,0.2-10,Sr.diff
NT-CC - ST-CC,-1.6719381320744534e-4,0.9587, ,-8.71509875395082e-4,5.371222489801913e-4,0 - 5 cm,0.2-10,Sr.diff
NT-CC - ST-NO,-0.0019083457122812284,0,***,-0.002612661774468865,-0.001204029650093592,0 - 5 cm,0.2-10,Sr.diff
NT-NO - ST-CC,2.3607448351828462e-4,0.8939, ,-4.68241578669352e-4,9.403905457059212e-4,0 - 5 cm,0.2-10,Sr.diff
NT-NO - ST-NO,-0.0015050774155554985,0,***,-0.002209393477743135,-8.007613533678619e-4,0 - 5 cm,0.2-10,Sr.diff
ST-CC - ST-NO,-0.0017411518990737831,0,***,-0.0024454679612614196,-0.0010368358368861466,0 - 5 cm,0.2-10,Sr.diff
NT-CC - NT-NO,-0.002561804945520751,0,***,-0.0030546355365698827,-0.0020689743544716195,0 - 5 cm,10-50,ln.r_area
NT-CC - ST-CC,-0.0029254101701881377,0,***,-0.0034182407612372693,-0.002432579579139006,0 - 5 cm,10-50,ln.r_area
NT-CC - ST-NO,-0.003151265569760593,0,***,-0.003644096160809725,-0.0026584349787114616,0 - 5 cm,10-50,ln.r_area
NT-NO - ST-CC,-3.636052246673866e-4,0.4018, ,-8.564358157165182e-4,1.29225366381745e-4,0 - 5 cm,10-50,ln.r_area
NT-NO - ST-NO,-5.894606242398421e-4,0.0572,.,-0.0010822912152889737,-9.663003319071049e-5,0 - 5 cm,10-50,ln.r_area
ST-CC - ST-NO,-2.2585539957245548e-4,0.7663, ,-7.186859906215871e-4,2.669751914766761e-4,0 - 5 cm,10-50,ln.r_area
NT-CC - NT-NO,-0.006275764458744261,0,***,-0.007282391401835095,-0.005269137515653427,0 - 5 cm,10-50,ln.r_area_porosity
NT-CC - ST-CC,-0.005507559026098244,0,***,-0.0065141859691890775,-0.00450093208300741,0 - 5 cm,10-50,ln.r_area_porosity
NT-CC - ST-NO,-0.005183740788933612,0,***,-0.006190367732024446,-0.004177113845842778,0 - 5 cm,10-50,ln.r_area_porosity
NT-NO - ST-CC,7.682054326460172e-4,0.3711, ,-2.3842151044481657e-4,0.001774832375736851,0 - 5 cm,10-50,ln.r_area_porosity
NT-NO - ST-NO,0.001092023669810649,0.1011, ,8.539672671981514e-5,0.0020986506129014827,0 - 5 cm,10-50,ln.r_area_porosity
ST-CC - ST-NO,3.238182371646317e-4,0.9041, ,-6.828087059262021e-4,0.0013304451802554655,0 - 5 cm,10-50,ln.r_area_porosity
NT-CC - NT-NO,-0.0017327364418286703,0,***,-0.002190940334264013,-0.0012745325493933278,0 - 5 cm,10-50,Sr.diff
NT-CC - ST-CC,-0.0019866186151482846,0,***,-0.002444822507583627,-0.001528414722712942,0 - 5 cm,10-50,Sr.diff
