 All cumulative fluxes (CumQ) are positive out of the region

       Time        CumQAP       CumQRP       CumQA        CumQR       CumQ3        hAtm       hRoot     hKode3    A-level
      [T]           [V]          [V]         [V]          [V]          [V]          [L]        [L]        [L] 

        1.0000  0.00000E+00  0.58529E+01  0.00000E+00  0.58529E+01 -0.12138E+02    -1004.8     -996.5     -505.8       1
        2.0000  0.00000E+00  0.81941E+01  0.00000E+00  0.81941E+01 -0.24277E+02     -995.6     -990.1     -491.2       2
        3.0000  0.00000E+00  0.11706E+02  0.00000E+00  0.11706E+02 -0.36415E+02     -985.9     -984.4     -486.2       3
        4.0000  0.00000E+00  0.15218E+02  0.00000E+00  0.15218E+02 -0.48553E+02     -976.1     -978.6     -481.0       4
        5.0000  0.00000E+00  0.18729E+02  0.00000E+00  0.18729E+02 -0.72830E+02     -957.3     -964.8     -244.6       5
        6.0000  0.00000E+00  0.23412E+02  0.00000E+00  0.23404E+02 -0.65547E+03     -606.9     -724.0      -10.2       6
        7.0000  0.00000E+00  0.40970E+02  0.00000E+00  0.40912E+02 -0.12381E+04     -283.6     -529.5       -9.7       7
        8.0000  0.00000E+00  0.77259E+02  0.00000E+00  0.77058E+02 -0.18207E+04     -130.2     -399.8       -9.3       8
        9.0000  0.00000E+00  0.12876E+03  0.00000E+00  0.12836E+03 -0.24034E+04      -82.7     -312.4       -8.9       9
       10.0000  0.00000E+00  0.19549E+03  0.00000E+00  0.19507E+03 -0.24034E+04     -102.9     -279.3     -103.4      10
       11.0000  0.00000E+00  0.27392E+03  0.00000E+00  0.27350E+03 -0.24034E+04     -122.5     -274.3     -129.6      11
       12.0000  0.00000E+00  0.36054E+03  0.00000E+00  0.36013E+03 -0.24034E+04     -145.3     -284.2     -157.8      12
       13.0000  0.00000E+00  0.44716E+03  0.00000E+00  0.44675E+03 -0.24034E+04     -169.9     -300.9     -187.6      13
       14.0000  0.00000E+00  0.53262E+03  0.00000E+00  0.53220E+03 -0.24034E+04     -195.1     -321.0     -220.1      14
       15.0000  0.00000E+00  0.60051E+03  0.00000E+00  0.60010E+03 -0.24034E+04     -218.8     -340.7     -245.8      15
