KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	
Last setting of the zero point	5/5/2018
Serial Number	0000

File name	KSAT_measurement_13T_000_refit

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	5/5/2018 12:23:44 PM
Test duration	00:00:57

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.62	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-3.15E-02	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]	-.3	coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	0.9998	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	1500	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	1.74E-04	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	1260	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	1.47E-04	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	904	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	1.05E-04	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
5/5/2018 12:23:44 PM	873	-4.53	-0.019	-99999.000	22.680
5/5/2018 12:23:46 PM	451	-2.95	-0.019	-99999.000	22.680
5/5/2018 12:23:47 PM	436	-1.97	-0.020	-99999.000	22.680
5/5/2018 12:23:48 PM	420	-0.99	5.068	-99999.000	22.680
5/5/2018 12:23:49 PM	405	0.00	4.924	4.924	22.680
5/5/2018 12:23:51 PM	296	1.89	4.588	4.656	22.680
5/5/2018 12:23:52 PM	499	3.09	4.483	4.494	22.680
5/5/2018 12:23:53 PM	702	4.30	4.330	4.338	22.680
5/5/2018 12:23:54 PM	890	5.48	4.136	4.190	22.680
5/5/2018 12:23:56 PM	937	7.53	3.904	3.947	22.680
5/5/2018 12:23:58 PM	140	8.73	3.777	3.811	22.680
5/5/2018 12:24:00 PM	187	10.78	3.564	3.592	22.670
5/5/2018 12:24:01 PM	328	11.92	3.442	3.476	22.670
5/5/2018 12:24:03 PM	390	13.99	3.252	3.276	22.670
5/5/2018 12:24:04 PM	594	15.19	3.145	3.165	22.670
5/5/2018 12:24:06 PM	625	17.22	2.974	2.987	22.670
5/5/2018 12:24:08 PM	672	19.27	2.814	2.819	22.670
5/5/2018 12:24:10 PM	735	21.33	2.664	2.661	22.670
5/5/2018 12:24:12 PM	798	23.39	2.522	2.512	22.670
5/5/2018 12:24:14 PM	860	25.45	2.359	2.373	22.670
5/5/2018 12:24:16 PM	892	27.49	2.234	2.244	22.670
5/5/2018 12:24:18 PM	955	29.55	2.120	2.122	22.670
5/5/2018 12:24:21 PM	17	31.61	1.990	2.007	22.680
5/5/2018 12:24:23 PM	96	33.69	1.890	1.899	22.680
5/5/2018 12:24:26 PM	18	36.61	1.757	1.758	22.680
5/5/2018 12:24:28 PM	940	39.53	1.656	1.630	22.680
5/5/2018 12:24:31 PM	862	42.46	1.529	1.513	22.690
5/5/2018 12:24:34 PM	784	45.38	1.412	1.406	22.690
5/5/2018 12:24:38 PM	566	49.16	1.282	1.282	22.690
5/5/2018 12:24:42 PM	348	52.94	1.171	-99999.000	22.680

