KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	1.4
Last setting of the zero point	5/11/2018
Serial Number	0179

File name	KSAT_measurement_15T_000_refit

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	5/11/2018 4:11:37 PM
Test duration	00:01:44

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-1.46E-02	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]	-.1	coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	0.9999	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	696	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	8.09E-05	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	576	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	6.69E-05	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	410	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	4.77E-05	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
5/11/2018 4:11:37 PM	56	-4.19	-0.266	-99999.000	22.970
5/11/2018 4:11:38 PM	713	-2.54	-0.267	-99999.000	22.970
5/11/2018 4:11:40 PM	327	-0.92	2.323	-99999.000	22.970
5/11/2018 4:11:41 PM	249	0.00	5.099	5.099	22.990
5/11/2018 4:11:43 PM	46	1.80	4.957	4.970	22.990
5/11/2018 4:11:44 PM	218	2.97	4.847	4.887	22.990
5/11/2018 4:11:46 PM	187	4.94	4.739	4.751	22.990
5/11/2018 4:11:48 PM	218	6.97	4.631	4.616	22.990
5/11/2018 4:11:49 PM	390	8.14	4.520	4.539	22.990
5/11/2018 4:11:51 PM	371	10.12	4.397	4.413	22.970
5/11/2018 4:11:53 PM	407	12.16	4.280	4.286	22.970
5/11/2018 4:11:55 PM	376	14.13	4.140	4.168	22.970
5/11/2018 4:11:57 PM	408	16.16	4.022	4.049	22.970
5/11/2018 4:11:59 PM	455	18.21	3.911	3.933	22.970
5/11/2018 4:12:01 PM	533	20.28	3.805	3.818	22.970
5/11/2018 4:12:04 PM	408	23.16	3.667	3.665	22.970
5/11/2018 4:12:06 PM	394	25.14	3.504	3.564	22.970
5/11/2018 4:12:10 PM	98	28.85	3.359	3.381	22.970
5/11/2018 4:12:12 PM	926	31.68	3.227	3.249	22.970
5/11/2018 4:12:15 PM	817	34.57	3.120	3.119	22.970
5/11/2018 4:12:18 PM	693	37.44	2.989	2.995	22.970
5/11/2018 4:12:21 PM	537	40.29	2.872	2.877	22.980
5/11/2018 4:12:24 PM	365	43.12	2.764	2.765	22.980
5/11/2018 4:12:27 PM	225	45.98	2.647	2.656	22.980
5/11/2018 4:12:30 PM	928	49.68	2.519	2.521	22.980
5/11/2018 4:12:34 PM	632	53.38	2.393	2.394	22.980
5/11/2018 4:12:38 PM	323	57.07	2.263	2.274	22.980
5/11/2018 4:12:42 PM	10	60.76	2.152	2.160	22.990
5/11/2018 4:12:46 PM	558	65.31	2.034	2.027	22.990
5/11/2018 4:12:50 PM	277	69.03	1.927	1.926	22.990
5/11/2018 4:12:54 PM	826	73.58	1.805	1.808	22.990
5/11/2018 4:12:59 PM	436	78.19	1.687	1.697	22.990
5/11/2018 4:13:04 PM	859	83.61	1.571	1.576	22.980
5/11/2018 4:13:10 PM	252	89.00	1.471	1.464	22.980
5/11/2018 4:13:15 PM	690	94.44	1.360	1.360	22.980
5/11/2018 4:13:21 PM	98	99.85	1.255	-99999.000	22.980

