KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	1.4
Last setting of the zero point	5/21/2018
Serial Number	0179

File name	KSAT_measurement_21B_000_refit

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	5/21/2018 6:26:32 PM
Test duration	00:07:25

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.96	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-3.56E-03	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]	-.2	coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	1.0000	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	170	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	1.98E-05	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	140	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	1.62E-05	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	100	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	1.16E-05	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
5/21/2018 6:26:32 PM	869	-6.30	-0.241	-99999.000	22.850
5/21/2018 6:26:34 PM	438	-4.73	-0.245	-99999.000	22.850
5/21/2018 6:26:35 PM	356	-3.81	-0.245	-99999.000	22.850
5/21/2018 6:26:36 PM	277	-2.89	-0.246	-99999.000	22.850
5/21/2018 6:26:37 PM	280	-1.89	-0.220	-99999.000	22.850
5/21/2018 6:26:38 PM	234	-0.94	5.180	-99999.000	22.850
5/21/2018 6:26:39 PM	169	0.00	5.162	5.162	22.850
5/21/2018 6:26:44 PM	335	5.17	5.046	5.072	22.850
5/21/2018 6:26:49 PM	689	10.52	4.937	4.979	22.850
5/21/2018 6:26:56 PM	733	17.56	4.821	4.861	22.850
5/21/2018 6:27:03 PM	758	24.59	4.713	4.746	22.850
5/21/2018 6:27:10 PM	857	31.69	4.597	4.632	22.850
5/21/2018 6:27:17 PM	905	38.74	4.487	4.522	22.850
5/21/2018 6:27:25 PM	792	46.62	4.371	4.403	22.850
5/21/2018 6:27:32 PM	906	53.74	4.254	4.297	22.850
5/21/2018 6:27:41 PM	606	62.44	4.149	4.172	22.850
5/21/2018 6:27:49 PM	544	70.37	4.040	4.062	22.850
5/21/2018 6:27:57 PM	442	78.27	3.935	3.955	22.850
5/21/2018 6:28:05 PM	313	86.14	3.834	3.851	22.850
5/21/2018 6:28:13 PM	228	94.06	3.729	3.749	22.850
5/21/2018 6:28:22 PM	27	102.86	3.623	3.640	22.850
5/21/2018 6:28:30 PM	748	111.58	3.517	3.534	22.850
5/21/2018 6:28:40 PM	310	121.14	3.406	3.423	22.850
5/21/2018 6:28:49 PM	905	130.74	3.301	3.314	22.850
5/21/2018 6:28:59 PM	466	140.30	3.199	3.210	22.850
5/21/2018 6:29:09 PM	918	150.75	3.089	3.100	22.850
5/21/2018 6:29:20 PM	337	161.17	2.988	2.994	22.850
5/21/2018 6:29:30 PM	760	171.59	2.885	2.893	22.850
5/21/2018 6:29:42 PM	848	183.68	2.775	2.779	22.850
5/21/2018 6:29:54 PM	958	195.79	2.667	2.670	22.850
5/21/2018 6:30:07 PM	68	207.90	2.561	2.566	22.850
5/21/2018 6:30:20 PM	32	220.86	2.461	2.459	22.850
5/21/2018 6:30:32 PM	988	233.82	2.359	2.357	22.850
5/21/2018 6:30:45 PM	927	246.76	2.258	2.260	22.850
5/21/2018 6:31:01 PM	424	262.25	2.154	2.149	22.860
5/21/2018 6:31:16 PM	359	277.19	2.050	2.048	22.850
5/21/2018 6:31:32 PM	648	293.48	1.948	1.944	22.850
5/21/2018 6:31:49 PM	935	310.77	1.842	1.840	22.850
5/21/2018 6:32:07 PM	970	328.80	1.740	1.738	22.850
