KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	1.4
Last setting of the zero point	5/21/2018
Serial Number	0179

File name	KSAT_measurement_22T_000_refit

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	5/21/2018 6:48:48 PM
Test duration	00:01:20

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.78	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-1.96E-02	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]	-.1	coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	1.0000	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	933	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	1.08E-04	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	774	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	9.00E-05	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	553	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	6.43E-05	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
5/21/2018 6:48:48 PM	55	-7.71	-0.305	-99999.000	22.870
5/21/2018 6:48:49 PM	830	-5.93	-0.304	-99999.000	22.870
5/21/2018 6:48:50 PM	836	-4.93	-0.305	-99999.000	22.870
5/21/2018 6:48:51 PM	846	-3.92	-0.305	-99999.000	22.870
5/21/2018 6:48:52 PM	823	-2.94	-0.002	-99999.000	22.870
5/21/2018 6:48:53 PM	816	-1.95	5.102	-99999.000	22.870
5/21/2018 6:48:55 PM	764	0.00	4.882	4.882	22.870
5/21/2018 6:48:56 PM	879	1.12	4.773	4.779	22.870
5/21/2018 6:48:58 PM	33	2.27	4.670	4.674	22.870
5/21/2018 6:49:00 PM	76	4.31	4.493	4.495	22.870
5/21/2018 6:49:01 PM	197	5.43	4.392	4.400	22.870
5/21/2018 6:49:03 PM	160	7.40	4.229	4.238	22.870
5/21/2018 6:49:05 PM	209	9.45	4.071	4.075	22.870
5/21/2018 6:49:07 PM	172	11.41	3.951	3.926	22.870
5/21/2018 6:49:09 PM	128	13.36	3.776	3.782	22.870
5/21/2018 6:49:11 PM	91	15.33	3.636	3.643	22.870
5/21/2018 6:49:13 PM	933	18.17	3.462	3.452	22.870
5/21/2018 6:49:15 PM	933	20.17	3.317	3.323	22.870
5/21/2018 6:49:17 PM	973	22.21	3.192	3.197	22.870
5/21/2018 6:49:20 PM	813	25.05	3.032	3.030	22.870
5/21/2018 6:49:22 PM	786	27.02	2.923	2.919	22.870
5/21/2018 6:49:24 PM	763	29.00	2.815	2.812	22.870
5/21/2018 6:49:27 PM	565	31.80	2.674	2.667	22.870
5/21/2018 6:49:30 PM	358	34.59	2.536	2.531	22.880
5/21/2018 6:49:33 PM	156	37.39	2.403	2.401	22.880
5/21/2018 6:49:35 PM	987	40.22	2.263	2.277	22.880
5/21/2018 6:49:39 PM	741	43.98	2.120	2.123	22.870
5/21/2018 6:49:42 PM	553	46.79	2.016	2.015	22.870
5/21/2018 6:49:46 PM	191	50.43	1.886	1.884	22.870
5/21/2018 6:49:49 PM	915	54.15	1.766	1.758	22.870
5/21/2018 6:49:53 PM	665	57.90	1.643	1.641	22.870
5/21/2018 6:49:59 PM	18	63.25	1.493	1.488	22.870
5/21/2018 6:50:03 PM	580	67.82	1.373	1.369	22.870
5/21/2018 6:50:08 PM	98	72.33	1.262	1.262	22.870

