KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	1.4
Last setting of the zero point	6/6/2018
Serial Number	0179

File name	KSAT_measurement_23B_000_refit

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	6/6/2018 12:13:32 PM
Test duration	00:30:17

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.01	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-1.60E-03	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]	-1	coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	0.9979	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	76	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	8.88E-06	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	63	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	7.29E-06	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	45	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	5.22E-06	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
6/6/2018 12:13:32 PM	529	-4.96	0.116	-99999.000	22.710
6/6/2018 12:13:34 PM	527	-2.97	0.099	-99999.000	22.710
6/6/2018 12:13:35 PM	517	-1.98	0.086	-99999.000	22.710
6/6/2018 12:13:36 PM	501	-0.99	5.028	-99999.000	22.710
6/6/2018 12:13:37 PM	493	0.00	5.011	5.011	22.710
6/6/2018 12:13:47 PM	79	9.59	4.910	4.950	22.720
6/6/2018 12:14:01 PM	38	23.55	4.808	4.863	22.720
6/6/2018 12:14:15 PM	836	38.34	4.705	4.772	22.720
6/6/2018 12:14:31 PM	469	53.98	4.601	4.679	22.720
6/6/2018 12:14:46 PM	219	68.73	4.498	4.593	22.730
6/6/2018 12:15:02 PM	790	85.30	4.394	4.499	22.730
6/6/2018 12:15:20 PM	115	102.62	4.289	4.403	22.730
6/6/2018 12:15:37 PM	477	119.98	4.186	4.310	22.730
6/6/2018 12:15:55 PM	685	138.19	4.084	4.215	22.740
6/6/2018 12:16:14 PM	730	157.24	3.980	4.118	22.730
6/6/2018 12:16:34 PM	542	177.05	3.878	4.021	22.730
6/6/2018 12:16:54 PM	366	196.87	3.776	3.926	22.730
6/6/2018 12:17:16 PM	733	219.24	3.675	3.823	22.730
6/6/2018 12:17:39 PM	98	241.61	3.573	3.724	22.740
6/6/2018 12:18:01 PM	503	264.01	3.472	3.628	22.750
6/6/2018 12:18:26 PM	317	288.82	3.369	3.526	22.760
6/6/2018 12:18:52 PM	42	314.55	3.268	3.424	22.750
6/6/2018 12:19:19 PM	489	342.00	3.165	3.320	22.740
6/6/2018 12:19:46 PM	953	369.46	3.064	3.220	22.760
6/6/2018 12:20:16 PM	916	399.42	2.962	3.116	22.750
6/6/2018 12:20:47 PM	699	430.21	2.861	3.014	22.750
6/6/2018 12:21:20 PM	215	462.72	2.758	2.912	22.750
6/6/2018 12:21:56 PM	53	498.56	2.650	2.805	22.760
6/6/2018 12:22:33 PM	616	536.12	2.549	2.700	22.760
6/6/2018 12:23:12 PM	44	574.55	2.448	2.598	22.770
6/6/2018 12:23:54 PM	709	617.22	2.346	2.493	22.760
6/6/2018 12:24:43 PM	268	665.78	2.245	2.381	22.770
6/6/2018 12:25:36 PM	803	719.31	2.144	2.268	22.770
6/6/2018 12:26:34 PM	518	777.03	2.044	2.156	22.770
6/6/2018 12:27:39 PM	58	841.57	1.930	2.042	22.770
6/6/2018 12:29:09 PM	195	931.70	1.829	1.902	22.770
6/6/2018 12:30:36 PM	617	1019.12	1.728	1.784	22.770
6/6/2018 12:32:17 PM	816	1120.32	1.627	1.667	22.780
6/6/2018 12:34:16 PM	352	1238.86	1.527	1.552	22.790
6/6/2018 12:36:46 PM	68	1388.58	1.425	1.434	22.790
6/6/2018 12:39:48 PM	657	1571.16	1.324	1.324	22.800
6/6/2018 12:43:49 PM	694	1812.20	1.224	-99999.000	22.810

