KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	1.4
Last setting of the zero point	6/6/2018
Serial Number	0179

File name	KSAT_measurement_24T_000_refit

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	6/6/2018 1:03:52 PM
Test duration	00:03:49

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.3	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-6.68E-03	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]	.1	coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	1.0000	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	319	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	3.71E-05	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	262	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	3.05E-05	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	187	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	2.18E-05	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
6/6/2018 1:03:52 PM	86	-29.52	-0.304	-99999.000	22.860
6/6/2018 1:03:53 PM	640	-27.97	-0.317	-99999.000	22.860
6/6/2018 1:03:54 PM	640	-26.97	-0.321	-99999.000	22.860
6/6/2018 1:03:55 PM	628	-25.98	-0.323	-99999.000	22.860
6/6/2018 1:03:56 PM	616	-24.99	4.308	-99999.000	22.860
6/6/2018 1:04:21 PM	607	0.00	4.201	4.201	22.850
6/6/2018 1:04:25 PM	365	3.76	4.100	4.094	22.850
6/6/2018 1:04:29 PM	117	7.51	3.997	3.990	22.850
6/6/2018 1:04:32 PM	10	10.40	3.891	3.912	22.850
6/6/2018 1:04:36 PM	584	14.98	3.780	3.791	22.850
6/6/2018 1:04:41 PM	220	19.61	3.668	3.673	22.850
6/6/2018 1:04:44 PM	968	23.36	3.567	3.579	22.850
6/6/2018 1:04:50 PM	404	28.80	3.445	3.448	22.850
6/6/2018 1:04:54 PM	995	33.39	3.333	3.341	22.860
6/6/2018 1:05:00 PM	439	38.83	3.218	3.218	22.860
6/6/2018 1:05:05 PM	879	44.27	3.099	3.099	22.860
6/6/2018 1:05:11 PM	320	49.71	2.993	2.985	22.860
6/6/2018 1:05:16 PM	784	55.18	2.873	2.875	22.860
6/6/2018 1:05:23 PM	68	61.46	2.766	2.752	22.860
6/6/2018 1:05:28 PM	517	66.91	2.654	2.650	22.860
6/6/2018 1:05:33 PM	953	72.35	2.553	2.552	22.860
6/6/2018 1:05:40 PM	261	78.65	2.444	2.443	22.860
6/6/2018 1:05:46 PM	584	84.98	2.336	2.337	22.860
6/6/2018 1:05:53 PM	726	92.12	2.227	2.224	22.860
6/6/2018 1:06:00 PM	880	99.27	2.120	2.115	22.850
6/6/2018 1:06:08 PM	47	106.44	2.017	2.012	22.850
6/6/2018 1:06:16 PM	51	114.44	1.905	1.902	22.850
6/6/2018 1:06:24 PM	79	122.47	1.803	1.797	22.850
6/6/2018 1:06:32 PM	901	131.29	1.693	1.689	22.860
6/6/2018 1:06:42 PM	616	141.01	1.585	1.576	22.850
6/6/2018 1:06:52 PM	281	150.67	1.482	1.471	22.850
6/6/2018 1:07:02 PM	823	161.22	1.360	1.364	22.860
6/6/2018 1:07:14 PM	992	173.38	1.253	1.250	22.860
6/6/2018 1:07:27 PM	230	185.62	1.144	1.144	22.870
6/6/2018 1:07:41 PM	161	199.55	1.036	-99999.000	22.870

