KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	1.4
Last setting of the zero point	6/12/2018
Serial Number	0179

File name	KSAT_measurement_30T_000

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	6/12/2018 12:49:05 PM
Test duration	00:00:49

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.13	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-3.17E-02	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]		coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	0.9998	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	1510	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	1.76E-04	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	1260	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	1.47E-04	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	882	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	1.03E-04	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
6/12/2018 12:49:05 PM	708	-4.54	-0.384	-99999.000	23.810
6/12/2018 12:49:07 PM	511	-2.74	-0.384	-99999.000	23.810
6/12/2018 12:49:08 PM	422	-1.83	-0.384	-99999.000	23.810
6/12/2018 12:49:09 PM	333	-0.91	-0.359	-99999.000	23.810
6/12/2018 12:49:10 PM	247	0.00	5.134	5.134	23.810
6/12/2018 12:49:12 PM	34	1.79	4.806	4.851	23.810
6/12/2018 12:49:13 PM	155	2.91	4.689	4.682	23.810
6/12/2018 12:49:14 PM	261	4.01	4.516	4.521	23.810
6/12/2018 12:49:15 PM	365	5.12	4.352	4.366	23.810
6/12/2018 12:49:16 PM	486	6.24	4.247	4.213	23.810
6/12/2018 12:49:17 PM	599	7.35	4.091	4.067	23.810
6/12/2018 12:49:18 PM	840	8.59	3.892	3.911	23.810
6/12/2018 12:49:20 PM	869	10.62	3.657	3.667	23.810
6/12/2018 12:49:21 PM	997	11.75	3.518	3.538	23.810
6/12/2018 12:49:23 PM	955	13.71	3.309	3.326	23.810
6/12/2018 12:49:25 PM	64	14.82	3.188	3.211	23.810
6/12/2018 12:49:27 PM	16	16.77	3.034	3.018	23.810
6/12/2018 12:49:28 PM	986	18.74	2.851	2.836	23.810
6/12/2018 12:49:30 PM	103	19.86	2.746	2.737	23.810
6/12/2018 12:49:32 PM	74	21.83	2.581	2.571	23.810
6/12/2018 12:49:34 PM	22	23.77	2.452	2.417	23.810
6/12/2018 12:49:35 PM	127	24.88	2.331	2.334	23.810
6/12/2018 12:49:37 PM	70	26.82	2.219	2.195	23.810
6/12/2018 12:49:39 PM	36	28.79	2.084	2.062	23.810
6/12/2018 12:49:41 PM	7	30.76	1.931	1.938	23.830
6/12/2018 12:49:43 PM	816	33.57	1.792	1.773	23.830
6/12/2018 12:49:45 PM	854	35.61	1.659	1.662	23.830
6/12/2018 12:49:47 PM	902	37.66	1.559	1.557	23.830
6/12/2018 12:49:50 PM	711	40.46	1.442	1.425	23.820
6/12/2018 12:49:52 PM	766	42.52	1.335	1.335	23.820
6/12/2018 12:49:55 PM	652	45.40	1.208	-99999.000	23.820

