KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	1.4
Last setting of the zero point	6/22/2018
Serial Number	0179

File name	KSAT_measurement_31T_002

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	6/22/2018 4:11:24 PM
Test duration	00:04:25

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.96	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-5.58E-03	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]	-.1	coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	0.9999	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	266	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	3.09E-05	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	219	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	2.55E-05	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	152	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	1.76E-05	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
6/22/2018 4:11:24 PM	990	-4.29	0.197	-99999.000	24.390
6/22/2018 4:11:26 PM	499	-2.78	0.173	-99999.000	24.390
6/22/2018 4:11:27 PM	410	-1.87	0.166	-99999.000	24.390
6/22/2018 4:11:28 PM	337	-0.94	2.649	-99999.000	24.390
6/22/2018 4:11:29 PM	277	0.00	5.059	5.059	24.390
6/22/2018 4:11:31 PM	924	2.65	4.945	4.986	24.380
6/22/2018 4:11:35 PM	594	6.32	4.838	4.887	24.380
6/22/2018 4:11:39 PM	255	9.98	4.734	4.790	24.380
6/22/2018 4:11:43 PM	766	14.49	4.614	4.674	24.380
6/22/2018 4:11:48 PM	284	19.01	4.491	4.560	24.380
6/22/2018 4:11:52 PM	809	23.53	4.382	4.449	24.380
6/22/2018 4:11:57 PM	353	28.08	4.272	4.340	24.380
6/22/2018 4:12:01 PM	926	32.65	4.161	4.233	24.380
6/22/2018 4:12:07 PM	344	38.07	4.034	4.110	24.380
6/22/2018 4:12:12 PM	717	43.44	3.924	3.991	24.380
6/22/2018 4:12:18 PM	116	48.84	3.808	3.876	24.380
6/22/2018 4:12:23 PM	478	54.20	3.700	3.765	24.380
6/22/2018 4:12:29 PM	722	60.45	3.578	3.639	24.380
6/22/2018 4:12:35 PM	955	66.68	3.466	3.518	24.380
6/22/2018 4:12:42 PM	195	72.92	3.354	3.401	24.380
6/22/2018 4:12:48 PM	414	79.14	3.243	3.288	24.380
6/22/2018 4:12:55 PM	481	86.20	3.132	3.165	24.380
6/22/2018 4:13:01 PM	696	92.42	3.030	3.061	24.380
6/22/2018 4:13:08 PM	742	99.47	2.921	2.946	24.380
6/22/2018 4:13:15 PM	792	106.52	2.820	2.837	24.370
6/22/2018 4:13:22 PM	866	113.59	2.718	2.731	24.370
6/22/2018 4:13:29 PM	958	120.68	2.614	2.629	24.370
6/22/2018 4:13:37 PM	885	128.61	2.508	2.519	24.370
6/22/2018 4:13:45 PM	817	136.54	2.406	2.414	24.370
6/22/2018 4:13:54 PM	552	145.27	2.300	2.304	24.370
6/22/2018 4:14:04 PM	128	154.85	2.188	2.190	24.370
6/22/2018 4:14:13 PM	707	164.43	2.081	2.081	24.370
6/22/2018 4:14:24 PM	157	174.88	1.968	1.969	24.370
6/22/2018 4:14:35 PM	407	186.13	1.860	1.855	24.360
6/22/2018 4:14:46 PM	665	197.39	1.754	1.748	24.360
6/22/2018 4:14:57 PM	898	208.62	1.653	1.648	24.360
6/22/2018 4:15:10 PM	15	220.74	1.548	1.547	24.360
6/22/2018 4:15:22 PM	987	233.71	1.447	1.446	24.360
6/22/2018 4:15:36 PM	770	247.49	1.346	1.346	24.360
6/22/2018 4:15:50 PM	515	261.24	1.245	-99999.000	24.360

