KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	
Last setting of the zero point	7/31/2018
Serial Number	0000

File name	KSAT_measurement_32B_000

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	7/31/2018 11:34:28 AM
Test duration	00:16:11

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.21	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-1.53E-03	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]	-.1	coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	0.9999	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	73	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	8.50E-06	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	60	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	6.97E-06	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	42	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	4.93E-06	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
7/31/2018 11:34:28 AM	474	-5.69	0.096	-99999.000	23.390
7/31/2018 11:34:29 AM	536	-4.63	0.086	-99999.000	23.390
7/31/2018 11:34:31 AM	318	-2.84	0.071	-99999.000	23.390
7/31/2018 11:34:32 AM	286	-1.88	0.069	-99999.000	23.390
7/31/2018 11:34:33 AM	240	-0.92	2.829	-99999.000	23.390
7/31/2018 11:34:34 AM	162	0.00	5.307	5.307	23.390
7/31/2018 11:34:42 AM	926	8.76	5.196	5.238	23.390
7/31/2018 11:34:53 AM	536	19.37	5.094	5.155	23.390
7/31/2018 11:35:07 AM	601	33.44	4.992	5.047	23.390
7/31/2018 11:35:20 AM	806	46.64	4.889	4.948	23.400
7/31/2018 11:35:35 AM	729	61.57	4.781	4.838	23.390
7/31/2018 11:35:49 AM	809	75.65	4.676	4.737	23.390
7/31/2018 11:36:04 AM	841	90.68	4.573	4.631	23.390
7/31/2018 11:36:19 AM	828	105.67	4.470	4.528	23.390
7/31/2018 11:36:35 AM	548	121.39	4.367	4.423	23.390
7/31/2018 11:36:51 AM	378	137.22	4.264	4.319	23.390
7/31/2018 11:37:08 AM	20	153.86	4.159	4.213	23.390
7/31/2018 11:37:24 AM	726	170.56	4.057	4.109	23.390
7/31/2018 11:37:43 AM	149	188.99	3.948	3.997	23.380
7/31/2018 11:38:00 AM	822	206.66	3.845	3.893	23.380
7/31/2018 11:38:19 AM	215	225.05	3.744	3.788	23.380
7/31/2018 11:38:37 AM	654	243.49	3.637	3.685	23.400
7/31/2018 11:38:56 AM	900	262.74	3.537	3.581	23.390
7/31/2018 11:39:17 AM	27	282.87	3.434	3.475	23.390
7/31/2018 11:39:38 AM	904	304.74	3.329	3.363	23.400
7/31/2018 11:40:00 AM	766	326.60	3.225	3.256	23.420
7/31/2018 11:40:24 AM	393	350.23	3.118	3.144	23.410
7/31/2018 11:40:47 AM	161	373.00	3.018	3.039	23.410
7/31/2018 11:41:06 AM	475	392.31	2.910	2.953	23.400
7/31/2018 11:41:36 AM	150	421.99	2.807	2.827	23.410
7/31/2018 11:42:01 AM	449	447.29	2.705	2.723	23.410
7/31/2018 11:42:28 AM	453	474.29	2.601	2.616	23.410
7/31/2018 11:42:54 AM	580	500.42	2.499	2.518	23.410
7/31/2018 11:43:23 AM	303	529.14	2.395	2.414	23.410
7/31/2018 11:43:53 AM	760	559.60	2.292	2.308	23.410
7/31/2018 11:44:25 AM	60	590.90	2.191	2.205	23.420
7/31/2018 11:44:58 AM	95	623.93	2.090	2.101	23.400
7/31/2018 11:45:32 AM	866	658.70	1.986	1.997	23.400
7/31/2018 11:46:10 AM	167	696.01	1.883	1.891	23.420
