KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	1.4
Last setting of the zero point	7/31/2018
Serial Number	0179

File name	KSAT_measurement_5T2_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	7/31/2018 12:16:38 PM
Test duration	00:11:08

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.65	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-2.43E-03	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]	-.2	coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	0.9999	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	116	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	1.35E-05	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	95	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	1.11E-05	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	67	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	7.81E-06	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
7/31/2018 12:16:38 PM	879	-4.81	-0.303	-99999.000	23.420
7/31/2018 12:16:40 PM	895	-2.80	-0.307	-99999.000	23.420
7/31/2018 12:16:41 PM	848	-1.84	-0.308	-99999.000	23.420
7/31/2018 12:16:42 PM	770	-0.92	4.857	-99999.000	23.420
7/31/2018 12:16:43 PM	692	0.00	4.852	4.852	23.420
7/31/2018 12:16:53 PM	256	9.56	4.752	4.745	23.420
7/31/2018 12:17:01 PM	350	17.66	4.649	4.657	23.420
7/31/2018 12:17:11 PM	132	27.44	4.545	4.552	23.420
7/31/2018 12:17:20 PM	915	37.22	4.438	4.450	23.420
7/31/2018 12:17:31 PM	588	47.90	4.328	4.341	23.420
7/31/2018 12:17:43 PM	120	59.43	4.222	4.226	23.420
7/31/2018 12:17:52 PM	918	69.23	4.120	4.132	23.410
7/31/2018 12:18:03 PM	592	79.90	4.018	4.031	23.410
7/31/2018 12:18:15 PM	62	91.37	3.915	3.926	23.410
7/31/2018 12:18:26 PM	548	102.86	3.812	3.823	23.410
7/31/2018 12:18:38 PM	96	114.40	3.707	3.723	23.410
7/31/2018 12:18:50 PM	441	126.75	3.600	3.619	23.410
7/31/2018 12:19:03 PM	646	139.95	3.493	3.511	23.410
7/31/2018 12:19:16 PM	819	153.13	3.393	3.406	23.410
7/31/2018 12:19:30 PM	867	167.18	3.284	3.299	23.410
7/31/2018 12:19:45 PM	40	181.35	3.181	3.194	23.420
7/31/2018 12:19:59 PM	996	196.30	3.076	3.087	23.420
7/31/2018 12:20:14 PM	937	211.24	2.974	2.984	23.420
7/31/2018 12:20:30 PM	720	227.03	2.873	2.879	23.420
7/31/2018 12:20:46 PM	502	242.81	2.772	2.779	23.420
7/31/2018 12:21:03 PM	192	259.50	2.671	2.676	23.440
7/31/2018 12:21:21 PM	537	277.85	2.566	2.568	23.430
7/31/2018 12:21:39 PM	40	295.35	2.464	2.469	23.430
7/31/2018 12:21:57 PM	387	313.69	2.362	2.371	23.430
7/31/2018 12:22:18 PM	311	334.62	2.261	2.263	23.440
7/31/2018 12:22:40 PM	108	356.42	2.158	2.156	23.440
7/31/2018 12:23:03 PM	142	379.45	2.051	2.050	23.430
7/31/2018 12:23:26 PM	692	403.00	1.950	1.947	23.430
7/31/2018 12:23:51 PM	976	428.28	1.848	1.843	23.420
7/31/2018 12:24:18 PM	963	455.27	1.745	1.739	23.430
7/31/2018 12:24:46 PM	765	483.07	1.645	1.638	23.440
7/31/2018 12:25:17 PM	987	514.30	1.540	1.533	23.430
7/31/2018 12:25:50 PM	51	546.36	1.438	1.433	23.430
7/31/2018 12:26:20 PM	430	576.74	1.329	1.345	23.430
7/31/2018 12:27:04 PM	514	620.82	1.229	1.229	23.430
7/31/2018 12:27:46 PM	988	663.30	1.128	-99999.000	23.430

