KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	1.4
Last setting of the zero point	4/6/2018
Serial Number	0179

File name	KSAT_measurement_5b_001_refit

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	4/6/2018 5:15:54 PM
Test duration	00:53:46

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	2.89	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-6.29E-04	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]	1	coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	0.9977	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	28	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	3.31E-06	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	25	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	2.86E-06	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	18	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	2.08E-06	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
4/6/2018 5:15:54 PM	2	-2169.65	-4.474	-99999.000	21.520
4/6/2018 5:15:55 PM	486	-2168.16	-4.480	-99999.000	21.520
4/6/2018 5:15:56 PM	377	-2167.27	-4.482	-99999.000	21.520
4/6/2018 5:15:57 PM	268	-2166.38	-4.346	-99999.000	21.520
4/6/2018 5:15:58 PM	158	-2165.49	1.994	-99999.000	21.520
4/6/2018 5:52:03 PM	650	0.00	1.891	1.891	21.900
4/6/2018 5:53:04 PM	798	61.15	1.790	1.782	21.910
4/6/2018 5:54:19 PM	743	136.09	1.687	1.654	21.920
4/6/2018 5:55:31 PM	235	207.58	1.587	1.537	21.930
4/6/2018 5:56:40 PM	133	276.48	1.487	1.430	21.940
4/6/2018 5:57:49 PM	16	345.37	1.387	1.327	21.940
4/6/2018 5:58:51 PM	882	408.23	1.286	1.237	21.950
4/6/2018 5:59:57 PM	311	473.66	1.185	1.147	21.950
4/6/2018 6:01:07 PM	68	543.42	1.082	1.055	21.960
4/6/2018 6:02:19 PM	404	615.75	0.982	0.963	21.970
4/6/2018 6:03:30 PM	302	686.65	0.878	0.878	21.970
4/6/2018 6:04:52 PM	61	768.41	0.776	0.784	21.980
4/6/2018 6:06:37 PM	40	873.39	0.676	0.670	21.990
4/6/2018 6:08:09 PM	971	966.32	0.575	0.575	22.000
4/6/2018 6:09:40 PM	497	1056.85	0.474	-99999.000	22.010

