KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	
Last setting of the zero point	4/9/2018
Serial Number	0000

File name	KSAT_measurement_6t_000_refit

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	4/9/2018 1:29:30 PM
Test duration	00:00:25

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.35	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-8.49E-02	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]	-.4	coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	0.9972	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	4050	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	4.71E-04	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	3500	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	4.07E-04	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	2480	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	2.88E-04	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
4/9/2018 1:29:30 PM	937	-6.02	-3.605	-99999.000	23.260
4/9/2018 1:29:32 PM	469	-4.49	-3.604	-99999.000	23.280
4/9/2018 1:29:33 PM	359	-3.59	-3.603	-99999.000	23.280
4/9/2018 1:29:34 PM	250	-2.70	-3.602	-99999.000	23.280
4/9/2018 1:29:35 PM	172	-1.78	-3.603	-99999.000	23.280
4/9/2018 1:29:36 PM	63	-0.89	-0.881	-99999.000	23.280
4/9/2018 1:29:36 PM	954	0.00	5.753	5.753	23.280
4/9/2018 1:29:38 PM	625	1.67	4.676	5.045	23.280
4/9/2018 1:29:39 PM	610	2.66	4.366	4.672	23.280
4/9/2018 1:29:40 PM	595	3.64	4.055	4.330	23.270
4/9/2018 1:29:41 PM	579	4.63	3.869	4.015	23.270
4/9/2018 1:29:42 PM	579	5.63	3.521	3.721	23.270
4/9/2018 1:29:43 PM	564	6.61	3.340	3.454	23.270
4/9/2018 1:29:44 PM	548	7.59	3.150	3.210	23.270
4/9/2018 1:29:45 PM	533	8.58	2.931	2.984	23.270
4/9/2018 1:29:46 PM	517	9.56	2.726	2.777	23.270
4/9/2018 1:29:47 PM	501	10.55	2.593	2.587	23.270
4/9/2018 1:29:48 PM	502	11.55	2.403	2.408	23.270
4/9/2018 1:29:50 PM	346	13.39	2.165	2.117	23.270
4/9/2018 1:29:51 PM	330	14.38	1.996	1.980	23.240
4/9/2018 1:29:52 PM	315	15.36	1.838	1.853	23.240
4/9/2018 1:29:53 PM	299	16.34	1.737	1.737	23.240
4/9/2018 1:29:55 PM	143	18.19	1.543	1.543	23.240
4/9/2018 1:29:56 PM	159	19.20	1.407	-99999.000	23.240

