KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	
Last setting of the zero point	4/30/2018
Serial Number	0000

File name	KSAT_measurement_8B_000_refit

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	4/30/2018 3:35:25 PM
Test duration	00:03:54

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.16	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-5.86E-03	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]	.1	coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	1.0000	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	280	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	3.25E-05	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	230	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	2.67E-05	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	169	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	1.96E-05	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
4/30/2018 3:35:25 PM	950	-4.59	0.075	-99999.000	21.590
4/30/2018 3:35:27 PM	784	-2.76	0.093	-99999.000	21.590
4/30/2018 3:35:28 PM	692	-1.85	0.087	-99999.000	21.590
4/30/2018 3:35:29 PM	622	-0.92	5.116	-99999.000	21.590
4/30/2018 3:35:30 PM	544	0.00	5.055	5.055	21.590
4/30/2018 3:35:33 PM	230	2.69	4.950	4.974	21.590
4/30/2018 3:35:36 PM	914	6.37	4.843	4.866	21.590
4/30/2018 3:35:40 PM	622	10.08	4.739	4.759	21.590
4/30/2018 3:35:45 PM	131	14.59	4.612	4.633	21.590
4/30/2018 3:35:48 PM	820	18.28	4.509	4.531	21.590
4/30/2018 3:35:52 PM	489	21.95	4.406	4.433	21.590
4/30/2018 3:35:56 PM	997	26.45	4.295	4.315	21.590
4/30/2018 3:36:02 PM	460	31.92	4.162	4.175	21.590
4/30/2018 3:36:06 PM	977	36.43	4.053	4.064	21.590
4/30/2018 3:36:11 PM	500	40.96	3.948	3.955	21.590
4/30/2018 3:36:16 PM	2	45.46	3.847	3.849	21.590
4/30/2018 3:36:20 PM	581	50.04	3.737	3.745	21.590
4/30/2018 3:36:25 PM	952	55.41	3.618	3.625	21.580
4/30/2018 3:36:31 PM	337	60.79	3.508	3.510	21.580
4/30/2018 3:36:36 PM	719	66.18	3.388	3.398	21.580
4/30/2018 3:36:42 PM	901	72.36	3.265	3.273	21.590
4/30/2018 3:36:49 PM	196	78.65	3.147	3.151	21.590
4/30/2018 3:36:55 PM	396	84.85	3.027	3.035	21.590
4/30/2018 3:37:02 PM	455	91.91	2.910	2.908	21.590
4/30/2018 3:37:08 PM	678	98.13	2.802	2.800	21.590
4/30/2018 3:37:14 PM	890	104.35	2.689	2.696	21.590
4/30/2018 3:37:21 PM	948	111.40	2.585	2.583	21.590
4/30/2018 3:37:29 PM	68	118.52	2.482	2.473	21.590
4/30/2018 3:37:35 PM	364	124.82	2.377	2.380	21.590
4/30/2018 3:37:42 PM	433	131.89	2.275	2.280	21.590
4/30/2018 3:37:50 PM	353	139.81	2.167	2.172	21.590
4/30/2018 3:37:58 PM	273	147.73	2.065	2.069	21.590
4/30/2018 3:38:07 PM	22	156.48	1.959	1.960	21.590
4/30/2018 3:38:15 PM	820	165.28	1.854	1.857	21.590
4/30/2018 3:38:25 PM	403	174.86	1.745	1.750	21.590
4/30/2018 3:38:35 PM	908	185.36	1.641	1.639	21.590
4/30/2018 3:38:46 PM	352	195.81	1.538	1.536	21.590
4/30/2018 3:38:57 PM	629	207.09	1.436	1.431	21.600
4/30/2018 3:39:09 PM	786	219.24	1.326	1.326	21.590
4/30/2018 3:39:20 PM	211	229.67	1.226	-99999.000	21.600

